Reid, Chase	D	6'2	185	R	USA	2007-12-30
Wood, Cody	D	NA	NA	?	CAN	
Bidgood, Cohen	RW	NA	NA	?	CAN	
Klassen, Cohen	C	NA	NA	?	CAN	
Bumgarner, Cole	G	6'0	198	L	USA	
Temple, Cole	LW	5'10	163	R	CAN	
Tuminaro, Cole	D	NA	NA	?	USA	
Zurawski, Cole	RW	6'0	181	R	CAN	
Feeley, Colin	D	NA	NA	?	CAN	
Fitzgerald, Colin	C	6'2	194	R	CAN	
Davis, Connor	RW	6'1	174	L	CAN	
Schmidt, Connor	LW	5'11	179	L	CAN	
Cleaves, Cooper	D	NA	NA	?	USA	
Soller, Cooper	C	NA	NA	?	USA	
Williams, Cooper	LW	6'0	150	L	CAN	
Pavao, Cruz	RW	5'11	194	R	CAN	
Rhéaume-Mullen, Dakoda	D	6'0	181	R	USA	
Shaiikov, Danai	G	NA	NA	?	RUS	
Walters, Daniel	C	NA	NA	?	CAN	
Petrenko, Daniil	LW	5'10	179	R	RUS	
Rusakovich, Daniil	G	NA	NA	?	RUS	
Skvortsov, Daniil	D	6'4	214	R	RUS	
Ustinkov, Daniil	D	NA	NA	?	UNK	
Sysoyev, Danil	C	NA	NA	?	RUS	
Klaers, Danny	C	5'11	179	L	USA	
Anderson, Darian	RW	NA	NA	?	CAN	
Rolsing, Darian	D	NA	NA	?	CAN	
Krcal, David	LW	6'2	212	R	CZE	
Sedlacek, David	LW	NA	NA	?	CZE	
Vermirovsky, David	G	NA	NA	?	CZE	
Zmrhal, David	D	NA	NA	?	CZE	
Gerwing, Dawson	C	6'4	231	R	CAN	
Rudolph, Daxon	D	6'1	194	R	CAN	
Beuker, Dayne	C	5'10	161	R	USA	
Celko, Denis	G	NA	NA	?	CZE	
Lindberg, Dennis	D	6'3	201	R	SWE	
Thurston, Derek	D	6'1	190	R	CAN	
Ivchenko, Dmitri	G	NA	NA	?	RUS	
Yakutsenak, Dmitri	C	NA	NA	?	CAN	
Szongoth, Doman	C	NA	NA	?	UNK	
Bracco, Donato	D	5'10	161	R	USA	
Nilsson, Douglas Lindberg	G	NA	NA	?	SWE	
Paul, Douglas	C	NA	NA	?	SWE	
Allison, Drew	D	6'2	192	R	CAN	
Allen, Dryden	D	6'1	187	R	CAN	
Allie, Dylan	C	NA	NA	?	CAN	
Dean, Dylan	C	NA	NA	?	CAN	
Dumont, Dylan	RW	NA	NA	?	CAN	
Ronald, Dylan	D	5'11	180	R	CAN	
Rozzi, Dylan	LW	5'11	152	L	CAN	
Doyle, Eddie	D	6'3	179	L	CAN	
Bondar, Eduard	D	6'5	194	L	RUS	
Uronen, Eelis	D	6'0	187	L	FIN	
Orpana, Eetu	C	6'1	196	R	FIN	
Vahalahti, Eetu	D	6'1	163	R	FIN	
Ryabykin, Elisei	D	NA	NA	?	RUS	
Arnett, Elliot	D	NA	NA	?	CAN	
Dube, Elliot	C	6'1	173	R	CAN	
Lennon, Elliot	G	NA	NA	?	USA	
Hermansson, Elton	RW	6'1	176	R	SWE	
Ricard, Emile	LW	6'0	172	L	CAN	
Frossard, Eric	D	NA	NA	?	CAN	
Belchetz, Ethan	LW	6'5	227	L	CAN	
MacKenzie, Ethan	D	6'0	174	R	CAN	
Sturgis, Ethan	RW	NA	NA	?	USA	
Weber, Ethan	D	6'0	190	L	USA	
Jardine, Evan	LW	6'0	179	L	USA	
Bouvard, Fabrice	C	NA	NA	?	SUI	
Carell, Felix	D	NA	NA	?	SWE	
Persson, Filip Holst	RW	6'0	161	R	SWE	
Novak, Filip	LW	6'2	192	L	CZE	
Růžička, Filip	G	6'7	230	R	CZE	2008-03-24
Houle, Florent	RW	6'0	195	L	CAN	
Viita, Frans	C	5'9	157	L	FIN	
Poletin, Frantisek	G	6'2	183	R	CZE	
Betts, Gavin	G	NA	NA	?	CAN	
Garland, Gavin	C	5'9	186	L	USA	
Lesiuk, Gavin	LW	NA	NA	?	CAN	
McKenna, Gavin	LW	6'0	165	L	CAN	2007-12-20
Suzdorf, German	C	6'7	209	R	RUS	
Pantelas, Giorgos	D	6'2	190	R	CAN	
Pantellas, Giorgos	D	NA	NA	?	CAN	
Peshkov, Gleb	G	NA	NA	?	RUS	
Pugachyov, Gleb	LW	6'3	198	L	CAN	
Tsyplakov, Gleb	RW	NA	NA	?	RUS	
Spicer, Grady	D	NA	NA	?	CAN	
Nikolayev, Grigori	RW	NA	NA	?	RUS	
Stengard, Gustav	G	NA	NA	?	SWE	
Pangretitsch, Harris	D	NA	NA	?	CAN	
Boettiger, Harrison	G	6'2	185	L	USA	
Barch, Hayden	D	6'0	181	L	USA	
Nicolaysen, Henry	D	NA	NA	?	SWE	
Cilthe, Hjalmar	D	NA	NA	?	SWE	
Hallin, Hugo	D	5'9	165	R	SWE	
Orrsten, Hugo	C	6'3	198	R	SWE	
Aura, Hunter	D	NA	NA	?	CAN	
Morozov, Ilia	LW	6'3	196	L	RUS	
Shybinskyi, Illia	LW	NA	NA	?	CAN	
Dolgopolov, Ilya	D	6'0	187	L	RUS	
Hedqvist, Isac	C	NA	NA	?	SWE	
Arkhipov, Ivan	C	NA	NA	?	RUS	
Fomin, Ivan	LW	5'8	137	R	RUS	
Galiyanov, Ivan	LW	5'10	174	L	CAN	
Matta, Ivan	C	NA	NA	?	SVK	
Patrikhayev, Ivan	D	NA	NA	?	RUS	
Stenberg, Ivar	LW	5'11	170	L	SWE	2007-09-30
Hurlbert, J.P	RW	6'0	182	R	USA	
Hextall, Jack	C	6'0	183	R	USA	
Kultgen, Jack	D	NA	NA	?	USA	
Torr, Jack	C	NA	NA	?	USA	
Marthaler, Jackson	D	NA	NA	?	USA	
Crawford, Jacob	C	6'3	181	R	CAN	
Vandeven, Jacob	D	NA	NA	?	CAN	
Weiner, Jacoby	G	NA	NA	?	CAN	
Gustafson, Jake	C	NA	NA	?	CAN	
Floris, Jakub	D	NA	NA	?	FIN	
Frolo, Jakub	C	NA	NA	?	CZE	2007-12-05
Melanen, Jalmari	LW	NA	NA	?	FIN	
Rieber, James	D	NA	NA	?	USA	
Reber, Jamiro	C	5'10	181	R	SUI	
Brabenec, Jan	C	NA	NA	?	CZE	
Larys, Jan	G	6'2	159	L	CZE	
Skok, Jan	D	6'0	203	R	CZE	
Schaubel, Jason	G	NA	NA	?	CAN	
Kuhta, Jasper	C	6'2	194	R	FIN	
Mensonen, Jasu	C	5'11	183	R	FIN	
Fuder, Jaxon	LW	6'0	175	R	CAN	
Kurtz, Jayden	D	NA	NA	?	USA	
Plouffe, Jayden	LW	5'11	179	L	CAN	
Lemieux, Jean-Cristoph	C	5'11	176	L	CAN	
Somervuori, Jere	LW	6'0	159	R	SWE	
Virtanen, Jeremi	RW	5'11	179	L	FIN	
Mundy, Jeremiah	LW	6'3	201	R	SUI	
Kotajarvi, Jesper	D	5'11	157	R	FIN	
Parssinen, Jesse	C	5'11	185	L	FIN	
Kwajah, Jet	D	6'0	170	R	CAN	
Lajoie, Jett	C	5'11	179	L	CAN	
Laitinen, Jiko	C	NA	NA	?	FIN	
Egan, Jimmy	C	6'2	185	R	USA	
Kamas, Jiri	D	NA	NA	?	CAN	
Baumuller, Joby	RW	5'11	185	L	CAN	
Iginla, Joe	RW	5'10	165	?	CAN	
Wahlund, Joe	D	6'1	190	R	SWE	
Tarvainen, Joel	D	NA	NA	?	FIN	
Galanek, John	C	NA	NA	?	USA	
Hagglof, John	D	NA	NA	?	SWE	
Parsons, John	G	NA	NA	?	USA	
Sivertson, Jonah	C	NA	NA	?	CAN	
Kemps, Jonas	D	6'6	183	L	USA	
Lagerberg Hoen, Jonas	RW	6'2	176	R	SWE	
Woo, Jonas	D	5'9	165	L	CAN	
Brown, Jonathan	D	6'2	201	L	GER	
Kapageridis, Jonathan	D	6'0	176	R	CAN	
Prud, Jonathan	D	5'10	168	R	CAN	
Parkkali, Jonne	D	NA	NA	?	FIN	
Rajala, Joonas	LW	5'9	174	L	FIN	
Duguay, Jordan	LW	NA	NA	?	CAN	
Gavin, Jordan	D	5'11	187	R	CAN	
Holejsovsky, Josef	RW	NA	NA	?	CZE	
Erickson, Joseph	C	NA	NA	?	USA	
Salandra, Joseph	RW	NA	NA	?	CAN	
Evaschesen, Josh	LW	NA	NA	?	CAN	
McGregor, Josh	D	6'3	174	R	CAN	
Avery, Joshua	C	6'1	170	R	CAN	
Glavin, Joshua	D	6'2	201	R	CAN	
Piiparinen, Juho	D	6'2	203	R	FIN	
Brown, Julian	D	NA	NA	?	CAN	
Maze, Julien	LW	NA	NA	?	CAN	
Saari, Julius	D	6'2	187	R	FIN	
Graf, Justin	LW	NA	NA	?	USA	
Handsor, Justin	D	NA	NA	?	CAN	
